r01,r12,r23,r3x
s001,0.0158730158730159,0.328042328042328,0.26984126984127,0.386243386243386
s002,0.032967032967033,0.340659340659341,0.247252747252747,0.379120879120879
s003,0.104395604395604,0.362637362637363,0.296703296703297,0.236263736263736
s004,0.0677966101694915,0.401129943502825,0.333333333333333,0.19774011299435
s005,0.848837209302326,0.127906976744186,0.0116279069767442,0.0116279069767442
s006,0.0520833333333333,0.291666666666667,0.291666666666667,0.364583333333333
s007,0.0112359550561798,0.213483146067416,0.325842696629214,0.449438202247191
s008,0.776470588235294,0.188235294117647,0.0294117647058824,0.00588235294117647
s009,0.15819209039548,0.299435028248588,0.288135593220339,0.254237288135593
s010,0.00549450549450549,0.120879120879121,0.247252747252747,0.626373626373626
s011,0.0423280423280423,0.386243386243386,0.343915343915344,0.227513227513228
s012,0.0983606557377049,0.300546448087432,0.300546448087432,0.300546448087432
s013,0.0824175824175824,0.43956043956044,0.307692307692308,0.17032967032967
s014,0.0225988700564972,0.288135593220339,0.378531073446328,0.310734463276836
s015,0.0232558139534884,0.209302325581395,0.348837209302326,0.418604651162791
s016,0.0104166666666667,0.114583333333333,0.260416666666667,0.614583333333333
s017,0.455056179775281,0.393258426966292,0.112359550561798,0.0393258426966292
s018,0.0588235294117647,0.241176470588235,0.370588235294118,0.329411764705882
s019,0.915254237288136,0.0677966101694915,0.0112994350282486,0.00564971751412429
s020,0.0384615384615385,0.186813186813187,0.252747252747253,0.521978021978022
s021,0.783068783068783,0.164021164021164,0.037037037037037,0.0158730158730159
s022,0.032967032967033,0.203296703296703,0.28021978021978,0.483516483516484
s023,0.835164835164835,0.115384615384615,0.0384615384615385,0.010989010989011
s024,0.413907284768212,0.145695364238411,0.0264900662251656,0.413907284768212
s025,0.0348837209302326,0.238372093023256,0.348837209302326,0.377906976744186
s026,0.578125,0.239583333333333,0.104166666666667,0.078125
s027,0.904494382022472,0.0561797752808989,0.0224719101123595,0.0168539325842697
s028,0.0352941176470588,0.147058823529412,0.317647058823529,0.5
s029,0.00564971751412429,0.242937853107345,0.27683615819209,0.474576271186441
s030,0.368131868131868,0.318681318681319,0.186813186813187,0.126373626373626
s031,0.502645502645503,0.439153439153439,0.0423280423280423,0.0158730158730159
s032,0.71978021978022,0.21978021978022,0.0384615384615385,0.021978021978022
s033,0.198237885462555,0.281938325991189,0.3215859030837,0.198237885462555
s034,0.72316384180791,0.192090395480226,0.0621468926553672,0.0225988700564972
s035,0.00581395348837209,0.261627906976744,0.343023255813953,0.38953488372093
s036,0.302083333333333,0.401041666666667,0.197916666666667,0.0989583333333333
s037,0.0393258426966292,0.162921348314607,0.348314606741573,0.449438202247191
s038,0.0764705882352941,0.270588235294118,0.229411764705882,0.423529411764706
s039,0.203389830508475,0.305084745762712,0.299435028248588,0.192090395480226
s040,0.0989010989010989,0.379120879120879,0.28021978021978,0.241758241758242
s041,0.432432432432432,0.111111111111111,0.024024024024024,0.432432432432432
s042,0.153005464480874,0.202185792349727,0.409836065573771,0.234972677595628
s043,0.285714285714286,0.478021978021978,0.164835164835165,0.0714285714285714
s044,0.0169491525423729,0.180790960451977,0.282485875706215,0.519774011299435
s045,0.325581395348837,0.441860465116279,0.168604651162791,0.063953488372093
s046,0.276041666666667,0.447916666666667,0.192708333333333,0.0833333333333333
s047,0.0168539325842697,0.387640449438202,0.353932584269663,0.241573033707865
s048,0.0529411764705882,0.423529411764706,0.247058823529412,0.276470588235294
s049,0.0451977401129944,0.418079096045198,0.288135593220339,0.248587570621469
s050,0.67032967032967,0.241758241758242,0.0549450549450549,0.032967032967033
s051,0.407407407407407,0.338624338624339,0.201058201058201,0.0529100529100529
s052,0.0494505494505494,0.379120879120879,0.247252747252747,0.324175824175824
s053,0.142857142857143,0.318681318681319,0.236263736263736,0.302197802197802
s054,0.0395480225988701,0.209039548022599,0.389830508474576,0.361581920903955
s055,0.255813953488372,0.441860465116279,0.238372093023256,0.063953488372093
s056,0.109375,0.4375,0.203125,0.25
s057,0.117977528089888,0.443820224719101,0.252808988764045,0.185393258426966
s058,0.188235294117647,0.447058823529412,0.235294117647059,0.129411764705882
s059,0.0338983050847458,0.242937853107345,0.333333333333333,0.389830508474576
s060,0.587912087912088,0.307692307692308,0.0714285714285714,0.032967032967033
s061,0.756613756613757,0.158730158730159,0.0529100529100529,0.0317460317460317
s062,0.708791208791209,0.159340659340659,0.0824175824175824,0.0494505494505494
s063,0.120879120879121,0.197802197802198,0.313186813186813,0.368131868131868
s064,0.0282485875706215,0.27683615819209,0.355932203389831,0.338983050847458
s065,0.0697674418604651,0.308139534883721,0.331395348837209,0.290697674418605
s066,0.380208333333333,0.328125,0.145833333333333,0.145833333333333
s067,0.348314606741573,0.387640449438202,0.196629213483146,0.0674157303370786
s068,0.0411764705882353,0.217647058823529,0.370588235294118,0.370588235294118
s069,0.107344632768362,0.310734463276836,0.355932203389831,0.225988700564972
s070,0.043956043956044,0.197802197802198,0.379120879120879,0.379120879120879
s071,0.0317460317460317,0.291005291005291,0.317460317460317,0.35978835978836
s072,0.368131868131868,0.373626373626374,0.164835164835165,0.0934065934065934
s073,0.00549450549450549,0.175824175824176,0.296703296703297,0.521978021978022
s074,0.0734463276836158,0.418079096045198,0.299435028248588,0.209039548022599
s075,0.0232558139534884,0.255813953488372,0.383720930232558,0.337209302325581
s076,0.296875,0.479166666666667,0.151041666666667,0.0729166666666667
s077,0.0337078651685393,0.264044943820225,0.297752808988764,0.404494382022472
s078,0.276470588235294,0.294117647058824,0.223529411764706,0.205882352941176
s079,0.439873417721519,0.0917721518987342,0.0284810126582278,0.439873417721519
s080,0.423076923076923,0.384615384615385,0.142857142857143,0.0494505494505494
s081,0.037037037037037,0.195767195767196,0.312169312169312,0.455026455026455
s082,0.169398907103825,0.306010928961749,0.284153005464481,0.240437158469945
s083,0.142857142857143,0.450549450549451,0.258241758241758,0.148351648351648
s084,0.440677966101695,0.293785310734463,0.129943502824859,0.135593220338983
s085,0.930232558139535,0.0581395348837209,0.00581395348837209,0.00581395348837209
s086,0.192708333333333,0.380208333333333,0.203125,0.223958333333333
s087,0.476470588235294,0.0382352941176471,0.00882352941176471,0.476470588235294
s088,0.623529411764706,0.270588235294118,0.0941176470588235,0.0117647058823529
s089,0.0903954802259887,0.361581920903955,0.350282485875706,0.19774011299435
s090,0.60989010989011,0.274725274725275,0.0879120879120879,0.0274725274725275
s091,0.0691489361702128,0.388297872340426,0.25,0.292553191489362
s092,0.0218579234972678,0.120218579234973,0.26775956284153,0.590163934426229
s093,0.0659340659340659,0.291208791208791,0.324175824175824,0.318681318681319
s094,0.107344632768362,0.423728813559322,0.242937853107345,0.225988700564972
s095,0.00581395348837209,0.197674418604651,0.313953488372093,0.482558139534884
s096,0.744791666666667,0.203125,0.0364583333333333,0.015625
s097,0.0168539325842697,0.112359550561798,0.353932584269663,0.51685393258427
s098,0.00588235294117647,0.235294117647059,0.288235294117647,0.470588235294118
s099,0.271186440677966,0.418079096045198,0.214689265536723,0.096045197740113
s100,0.868131868131868,0.104395604395604,0.021978021978022,0.00549450549450549
s101,0.19047619047619,0.513227513227513,0.211640211640212,0.0846560846560847
s102,0.306010928961749,0.508196721311475,0.114754098360656,0.0710382513661202
s103,0.379120879120879,0.313186813186813,0.186813186813187,0.120879120879121
s104,0.333333333333333,0.440677966101695,0.169491525423729,0.0564971751412429
s105,0.36046511627907,0.343023255813953,0.186046511627907,0.11046511627907
s106,0.0885416666666667,0.401041666666667,0.296875,0.213541666666667
s107,0.634831460674157,0.286516853932584,0.0561797752808989,0.0224719101123595
s108,0.0529411764705882,0.370588235294118,0.229411764705882,0.347058823529412
s109,0.915254237288136,0.0564971751412429,0.0225988700564972,0.00564971751412429
s110,0.10989010989011,0.313186813186813,0.21978021978022,0.357142857142857
s111,0.0158730158730159,0.238095238095238,0.349206349206349,0.396825396825397
s112,0.0824175824175824,0.505494505494505,0.241758241758242,0.17032967032967
s113,0.368131868131868,0.406593406593407,0.142857142857143,0.0824175824175824
s114,0.0169491525423729,0.129943502824859,0.31638418079096,0.536723163841808
s115,0.0116279069767442,0.284883720930233,0.36046511627907,0.343023255813953
s116,0.0520833333333333,0.40625,0.276041666666667,0.265625
s117,0.0786516853932584,0.292134831460674,0.286516853932584,0.342696629213483
s118,0.0235294117647059,0.223529411764706,0.352941176470588,0.4
s119,0.610169491525424,0.271186440677966,0.0847457627118644,0.0338983050847458
s120,0.043956043956044,0.0989010989010989,0.335164835164835,0.521978021978022
s121,0.164021164021164,0.396825396825397,0.232804232804233,0.206349206349206
s122,0.0327868852459016,0.333333333333333,0.33879781420765,0.295081967213115
s123,0.0549450549450549,0.307692307692308,0.32967032967033,0.307692307692308
