r01,r12,r21,r3x
s001,0.0204081632653061,0.326530612244898,0.26530612244898,0.387755102040816
s002,0.0315789473684211,0.347368421052632,0.236842105263158,0.384210526315789
s003,0.117021276595745,0.356382978723404,0.297872340425532,0.228723404255319
s004,0.0756756756756757,0.394594594594595,0.32972972972973,0.2
s005,0.816216216216216,0.140540540540541,0.0324324324324324,0.0108108108108108
s006,0.050761421319797,0.289340101522843,0.289340101522843,0.370558375634518
s007,0.0160427807486631,0.20855614973262,0.32620320855615,0.449197860962567
s008,0.759776536312849,0.201117318435754,0.0335195530726257,0.00558659217877095
s009,0.16304347826087,0.28804347826087,0.28804347826087,0.260869565217391
s010,0.0159574468085106,0.127659574468085,0.24468085106383,0.611702127659574
s011,0.0459183673469388,0.387755102040816,0.331632653061224,0.23469387755102
s012,0.0942408376963351,0.308900523560209,0.287958115183246,0.308900523560209
s013,0.0904255319148936,0.436170212765957,0.308510638297872,0.164893617021277
s014,0.027027027027027,0.291891891891892,0.367567567567568,0.313513513513514
s015,0.0324324324324324,0.221621621621622,0.345945945945946,0.4
s016,0.0101522842639594,0.116751269035533,0.258883248730964,0.614213197969543
s017,0.454545454545455,0.39572192513369,0.106951871657754,0.0427807486631016
s018,0.0558659217877095,0.262569832402235,0.363128491620112,0.318435754189944
s019,0.902173913043478,0.0760869565217391,0.0108695652173913,0.0108695652173913
s020,0.0478723404255319,0.191489361702128,0.25,0.51063829787234
s021,0.76530612244898,0.168367346938776,0.0408163265306122,0.0255102040816327
s022,0.0315789473684211,0.210526315789474,0.273684210526316,0.484210526315789
s023,0.824468085106383,0.122340425531915,0.0425531914893617,0.0106382978723404
s024,0.697297297297297,0.248648648648649,0.0432432432432432,0.0108108108108108
s025,0.0486486486486487,0.243243243243243,0.345945945945946,0.362162162162162
s026,0.573604060913706,0.233502538071066,0.111675126903553,0.0812182741116751
s027,0.882352941176471,0.0695187165775401,0.0267379679144385,0.0213903743315508
s028,0.0335195530726257,0.162011173184358,0.318435754189944,0.486033519553073
s029,0.0108695652173913,0.233695652173913,0.277173913043478,0.478260869565217
s030,0.372340425531915,0.313829787234043,0.186170212765957,0.127659574468085
s031,0.5,0.433673469387755,0.0459183673469388,0.0204081632653061
s032,0.7,0.215789473684211,0.0421052631578947,0.0421052631578947
s033,0.0106382978723404,0.25,0.351063829787234,0.388297872340426
s034,0.713513513513514,0.189189189189189,0.0702702702702703,0.027027027027027
s035,0.0162162162162162,0.275675675675676,0.335135135135135,0.372972972972973
s036,0.299492385786802,0.390862944162437,0.203045685279188,0.106598984771574
s037,0.0481283422459893,0.165775401069519,0.342245989304813,0.443850267379679
s038,0.0782122905027933,0.29608938547486,0.223463687150838,0.402234636871508
s039,0.206521739130435,0.298913043478261,0.293478260869565,0.201086956521739
s040,0.111702127659574,0.372340425531915,0.276595744680851,0.23936170212766
s041,0.75,0.193877551020408,0.0510204081632653,0.00510204081632653
s042,0.146596858638743,0.214659685863874,0.392670157068063,0.246073298429319
s043,0.287234042553192,0.473404255319149,0.170212765957447,0.0691489361702128
s044,0.0216216216216216,0.178378378378378,0.286486486486487,0.513513513513513
s045,0.324324324324324,0.443243243243243,0.172972972972973,0.0594594594594595
s046,0.274111675126904,0.441624365482233,0.192893401015228,0.0913705583756345
s047,0.0267379679144385,0.379679144385027,0.347593582887701,0.245989304812834
s048,0.0558659217877095,0.435754189944134,0.245810055865922,0.262569832402235
s049,0.0543478260869565,0.402173913043478,0.28804347826087,0.255434782608696
s050,0.659574468085106,0.24468085106383,0.0585106382978723,0.0372340425531915
s051,0.403061224489796,0.336734693877551,0.198979591836735,0.0612244897959184
s052,0.0473684210526316,0.384210526315789,0.236842105263158,0.331578947368421
s053,0.148936170212766,0.313829787234043,0.24468085106383,0.292553191489362
s054,0.0486486486486487,0.210810810810811,0.383783783783784,0.356756756756757
s055,0.259459459459459,0.443243243243243,0.237837837837838,0.0594594594594595
s056,0.106598984771574,0.431472081218274,0.203045685279188,0.258883248730964
